# Systematic 1-in-1000 sample of the campaign's LLM call log.
# Multiply any aggregate here by 1000 to recover the campaign figure.
#
#   generation calls    13,272,000
#   correction calls     3,540,000
#   total calls         16,812,000
#   list price        $      434,801
#   after batch       $      311,880
#   waived by credit  $      310,942
#   charged in cash   $          938
#
# billing_mode is how the call was sent (batch / sync / local).
# billing_waived is 1 when a promotional or trial allocation covered the charge,
# in which case cost_usd is 0 and cost_usd_notional records what the call would
# otherwise have cost. It is 0 for the cloud calls issued before the three
# allocations were activated, which carry their charge in cost_usd, and for the
# locally served models, which cost nothing in every column.
# vendor names the account the call was billed to.
call_id,timestamp,model,provider,vendor,serving_backend,strategy,phase,repo_id,qualified_name,agent,attempt,prompt_tokens,completion_tokens,total_tokens,latency_ms,billing_mode,billing_waived,unit_price_in_per_mtok,unit_price_out_per_mtok,cost_usd_list,cost_usd_notional,cost_usd,interpreter_tokens,developer_tokens,classifier_tokens,classifier_score
c00000031,2025-05-29T09:38:14Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_710,com.example.p70.Class1368,Class Analyzer,1,2657,1636,4306,2048,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000032,2025-05-12T20:39:23Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_220,com.example.p20.Class9529,Class Analyzer,1,2540,1632,4185,2230,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000033,2025-05-28T16:15:24Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_423,com.example.p63.Class6773,Class Analyzer,1,2386,1545,3943,1838,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000034,2025-05-22T20:22:48Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_130,com.example.p50.Class8089,Class Analyzer,1,2492,1535,4040,1632,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000035,2025-04-25T13:38:42Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_428,com.example.p68.Class8861,Class Analyzer,1,2462,1562,4037,2120,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000036,2025-05-25T21:46:40Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_851,com.example.p11.Class9619,Class Analyzer,1,2677,1531,4221,2173,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000037,2025-05-28T06:26:38Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_508,com.example.p68.Class8132,Class Analyzer,1,2432,1510,3955,1881,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000038,2025-05-25T15:35:27Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_312,com.example.p72.Class7007,Class Analyzer,1,2586,1484,4083,2097,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000039,2025-05-12T19:22:28Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_616,com.example.p56.Class9867,Class Analyzer,1,2615,1558,4186,2043,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000040,2025-05-20T02:54:10Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_058,com.example.p18.Class6929,Class Analyzer,1,2342,1429,3782,1682,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000041,2025-05-21T17:30:16Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_387,com.example.p67.Class0197,Class Analyzer,1,2505,1540,4058,1482,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000042,2025-05-06T00:39:10Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_807,com.example.p47.Class8914,Class Analyzer,1,2564,1568,4145,1884,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000043,2025-05-09T06:34:05Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_583,com.example.p23.Class9342,Class Analyzer,1,2723,1670,4406,2433,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000044,2025-05-02T07:57:31Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_103,com.example.p23.Class5654,Class Analyzer,1,2461,1711,4185,2583,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000045,2025-05-14T10:13:03Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_335,com.example.p15.Class1361,Class Analyzer,1,2638,1514,4165,2027,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000046,2025-06-05T18:27:52Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_756,com.example.p76.Class0109,Class Analyzer,1,2591,1472,4076,1770,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000047,2025-05-28T14:44:14Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_202,com.example.p42.Class7232,Class Analyzer,1,2433,1636,4082,2421,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000048,2025-05-06T00:39:09Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_530,com.example.p50.Class2495,Class Analyzer,1,2660,1450,4122,1813,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000049,2025-05-26T18:20:36Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_896,com.example.p16.Class0336,Class Analyzer,1,2631,1476,4120,2099,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000050,2025-05-08T18:46:06Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_313,com.example.p33.Class5011,Class Analyzer,1,2474,1429,3915,1777,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000051,2025-06-08T15:28:15Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_305,com.example.p65.Class4884,Class Analyzer,1,2608,1658,4279,1424,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000052,2025-05-19T01:24:04Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_599,com.example.p39.Class7592,Class Analyzer,1,2595,1396,4003,1764,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000053,2025-04-29T02:48:45Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_147,com.example.p67.Class4364,Class Analyzer,1,2467,1487,3967,2277,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000054,2025-05-09T11:55:02Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_116,com.example.p76.Class7861,Class Analyzer,1,2372,1532,3916,1467,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000055,2025-05-07T17:13:29Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_834,com.example.p74.Class5346,Class Analyzer,1,2578,1583,4174,1966,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000056,2025-05-20T02:51:43Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_097,com.example.p17.Class3553,Class Analyzer,1,2597,1501,4111,1933,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000057,2025-05-05T23:55:16Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_513,com.example.p33.Class8218,Class Analyzer,1,2637,1415,4064,1673,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000058,2025-05-21T18:43:58Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_415,com.example.p55.Class4644,Class Analyzer,1,2667,1656,4336,2455,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000059,2025-05-07T04:15:31Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_258,com.example.p18.Class8128,Class Analyzer,1,2739,1504,4256,1859,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000060,2025-05-11T20:15:42Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_779,com.example.p59.Class2464,Class Analyzer,1,2640,1355,4007,1749,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000061,2025-04-26T12:10:12Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_352,com.example.p72.Class5642,Class Analyzer,1,2560,1564,4137,2404,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000062,2025-05-26T20:21:43Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_321,com.example.p1.Class9146,Class Analyzer,1,2499,1687,4199,1685,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000063,2025-05-21T18:19:05Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_968,com.example.p48.Class5489,Class Analyzer,1,2767,1713,4494,2360,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000064,2025-05-01T22:08:06Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_851,com.example.p11.Class1622,Class Analyzer,1,2455,1578,4046,2159,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000065,2025-05-05T19:06:46Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_703,com.example.p63.Class1259,Class Analyzer,1,2504,1453,3969,1643,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000066,2025-05-07T16:57:49Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_233,com.example.p33.Class3736,Class Analyzer,1,2626,1542,4181,1668,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000067,2025-05-29T06:42:11Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_514,com.example.p74.Class6225,Class Analyzer,1,2434,1583,4030,2268,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000068,2025-05-12T17:37:28Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_202,com.example.p42.Class7241,Class Analyzer,1,2928,1425,4366,1810,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000069,2025-04-30T11:33:59Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_273,com.example.p73.Class6378,Class Analyzer,1,2708,1356,4076,1808,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000070,2025-06-03T02:07:18Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_970,com.example.p10.Class1531,Class Analyzer,1,2534,1424,3970,2105,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000071,2025-05-25T14:02:53Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_191,com.example.p71.Class3065,Class Analyzer,1,2446,1459,3918,2454,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000072,2025-05-07T20:39:19Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_798,com.example.p78.Class0772,Class Analyzer,1,2481,1506,4000,2066,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000073,2025-05-26T14:59:22Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_645,com.example.p5.Class8325,Class Analyzer,1,2558,1430,4000,1634,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000074,2025-05-05T21:47:55Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_737,com.example.p17.Class3803,Class Analyzer,1,2414,1630,4056,2295,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000075,2025-06-08T05:17:39Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_685,com.example.p5.Class0974,Class Analyzer,1,2653,1598,4264,2514,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000076,2025-05-12T06:59:11Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_098,com.example.p18.Class3581,Class Analyzer,1,2724,1691,4428,1986,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000077,2025-05-18T01:08:49Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_011,com.example.p51.Class2184,Class Analyzer,1,2377,1532,3921,1994,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000078,2025-05-27T06:34:01Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_119,com.example.p39.Class7910,Class Analyzer,1,2515,1458,3986,2437,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000079,2025-05-19T06:14:02Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_852,com.example.p52.Class3632,Class Analyzer,1,2655,1530,4198,2004,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000080,2025-05-14T09:28:47Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_033,com.example.p33.Class6529,Class Analyzer,1,2345,1566,3923,1502,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000081,2025-05-19T07:36:19Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_389,com.example.p69.Class2226,Class Analyzer,1,2651,1509,4173,2340,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000082,2025-04-26T13:47:49Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_887,com.example.p7.Class4203,Class Analyzer,1,2499,1512,4024,1661,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000083,2025-05-22T19:40:12Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_219,com.example.p19.Class1517,Class Analyzer,1,2164,1526,3702,1725,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000084,2025-05-19T05:49:20Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_499,com.example.p59.Class7993,Class Analyzer,1,2496,1583,4092,2094,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000085,2025-05-21T02:33:56Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_078,com.example.p78.Class9263,Class Analyzer,1,2353,1378,3742,2048,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000086,2025-05-05T10:34:08Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_636,com.example.p76.Class2181,Class Analyzer,1,2631,1525,4169,2125,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000087,2025-05-17T08:43:00Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_586,com.example.p26.Class5390,Class Analyzer,1,2527,1679,4219,1427,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000088,2025-04-25T12:49:38Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_072,com.example.p32.Class1164,Class Analyzer,1,2383,1406,3800,1786,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000089,2025-05-28T18:18:23Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_989,com.example.p29.Class3834,Class Analyzer,1,2499,1535,4047,1418,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000090,2025-05-25T19:39:09Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_496,com.example.p56.Class7949,Class Analyzer,1,2736,1434,4182,1652,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000091,2025-05-19T20:19:24Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_581,com.example.p21.Class9304,Class Analyzer,1,2464,1476,3953,1735,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000092,2025-05-19T22:33:59Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_495,com.example.p55.Class7934,Class Analyzer,1,2519,1623,4155,2187,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000093,2025-05-15T00:48:52Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_444,com.example.p44.Class7108,Class Analyzer,1,2733,1575,4321,2405,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000094,2025-05-16T07:07:07Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_025,com.example.p25.Class0405,Class Analyzer,1,2664,1524,4201,2215,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000095,2025-05-16T10:22:50Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_321,com.example.p1.Class9136,Class Analyzer,1,2542,1438,3992,1602,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000096,2025-05-31T11:48:59Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_617,com.example.p17.Class9879,Class Analyzer,1,2550,1578,4141,1821,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000097,2025-05-13T04:58:39Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_429,com.example.p29.Class6868,Class Analyzer,1,2504,1653,4170,2391,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000098,2025-05-25T13:55:01Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_522,com.example.p2.Class4354,Class Analyzer,1,2427,1569,4008,2043,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000099,2025-05-22T17:40:36Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_548,com.example.p28.Class6769,Class Analyzer,1,2756,1640,4410,1762,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000100,2025-04-24T12:32:02Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_585,com.example.p25.Class3375,Class Analyzer,1,2662,1565,4240,2133,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000101,2025-06-01T10:20:13Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_442,com.example.p2.Class9080,Class Analyzer,1,2404,1452,3867,1736,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000102,2025-05-12T19:26:49Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_141,com.example.p21.Class4269,Class Analyzer,1,2484,1505,4002,1600,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000103,2025-05-08T14:58:52Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_109,com.example.p69.Class3747,Class Analyzer,1,2348,1461,3821,1632,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000104,2025-05-12T02:17:29Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_168,com.example.p48.Class4694,Class Analyzer,1,2402,1814,4229,2529,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000105,2025-05-05T18:26:43Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_113,com.example.p33.Class9821,Class Analyzer,1,2823,1501,4338,2020,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000106,2025-05-21T06:03:20Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_561,com.example.p1.Class0979,Class Analyzer,1,2634,1602,4249,1875,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000107,2025-06-05T21:32:52Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_213,com.example.p53.Class9415,Class Analyzer,1,2730,1615,4358,1926,local,0,0.0,0.0,0.0,0.0,0.0,,,,
c00000108,2025-05-29T12:59:07Z,deepseek-r1,local,self-hosted,vLLM-awq4,dynamic,generation,repo_868,com.example.p28.Class3902,Class Analyzer,1,2384,1504,3900,1937,local,0,0.0,0.0,0.0,0.0,0.0,,,,
